House Vote #69 2020-02-12T16:59:00 - H.R. 2546: Protecting America’s Wilderness Act
person,state,district,vote,name,party
412771,IA,1,Yea,Rep. Abby Finkenauer [D],Democrat
412772,IA,3,Yea,Rep. Cynthia Axne [D],Democrat
412773,ID,1,Nay,Rep. Russ Fulcher [R],Republican
412774,IL,4,Yea,Rep. Jesús García [D],Democrat
412775,IL,6,Yea,Rep. Sean Casten [D],Democrat
412776,IL,14,Yea,Rep. Lauren Underwood [D],Democrat
412777,IN,4,Nay,Rep. James Baird [R],Republican
412778,IN,6,Nay,Rep. Greg Pence [R],Republican
412779,KS,2,Nay,Rep. Steven Watkins [R],Republican
412780,KS,3,Yea,Rep. Sharice Davids [D],Democrat
412781,MA,3,Yea,Rep. Lori Trahan [D],Democrat
412782,MA,7,Yea,Rep. Ayanna Pressley [D],Democrat
412783,MD,6,Yea,Rep. David Trone [D],Democrat
412784,MI,8,Yea,Rep. Elissa Slotkin [D],Democrat
412785,MI,9,Yea,Rep. Andy Levin [D],Democrat
412786,MI,11,Yea,Rep. Haley Stevens [D],Democrat
412787,MI,13,Yea,Rep. Rashida Tlaib [D],Democrat
412788,MN,1,Nay,Rep. Jim Hagedorn [R],Republican
412789,MN,2,Yea,Rep. Angie Craig [D],Democrat
412790,MN,3,Yea,Rep. Dean Phillips [D],Democrat
412791,MN,5,Yea,Rep. Ilhan Omar [D],Democrat
412792,MN,8,Nay,Rep. Pete Stauber [R],Republican
412793,MS,3,Nay,Rep. Michael Guest [R],Republican
412794,ND,0,Nay,Rep. Kelly Armstrong [R],Republican
412795,NH,1,Yea,Rep. Chris Pappas [D],Democrat
412796,NJ,2,Yea,Rep. Jefferson Van Drew [R],Republican
412797,NJ,3,Yea,Rep. Andy Kim [D],Democrat
412798,NJ,7,Yea,Rep. Tom Malinowski [D],Democrat
412799,NJ,11,Yea,Rep. Mikie Sherrill [D],Democrat
412800,NM,1,Yea,Rep. Debra Haaland [D],Democrat
412801,NM,2,Yea,Rep. Xochitl Torres Small [D],Democrat
412802,NV,3,Yea,Rep. Susie Lee [D],Democrat
412803,NY,11,Yea,Rep. Max Rose [D],Democrat
412804,NY,14,Yea,Rep. Alexandria Ocasio-Cortez [D],Democrat
412805,NY,19,Yea,Rep. Antonio Delgado [D],Democrat
412806,NY,22,Yea,Rep. Anthony Brindisi [D],Democrat
412807,OH,16,Nay,Rep. Anthony Gonzalez [R],Republican
412808,OK,5,Yea,Rep. Kendra Horn [D],Democrat
412809,PA,4,Yea,Rep. Madeleine Dean [D],Democrat
412810,PA,6,Yea,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,Nay,Rep. Daniel Meuser [R],Republican
412812,PA,13,Nay,Rep. John Joyce [R],Republican
412813,PA,14,Nay,Rep. Guy Reschenthaler [R],Republican
412814,SC,1,Yea,Rep. Joe Cunningham [D],Democrat
412815,SC,4,Nay,Rep. William Timmons [R],Republican
412816,SD,0,Nay,Rep. Dusty Johnson [R],Republican
412817,TN,2,Nay,Rep. Tim Burchett [R],Republican
412818,TN,6,Nay,Rep. John Rose [R],Republican
412819,TN,7,Nay,Rep. Mark Green [R],Republican
412820,TX,2,Nay,Rep. Dan Crenshaw [R],Republican
412821,TX,3,Nay,Rep. Van Taylor [R],Republican
412822,TX,5,Nay,Rep. Lance Gooden [R],Republican
412823,TX,6,Not Voting,Rep. Ron Wright [R],Republican
412824,TX,7,Yea,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,Yea,Rep. Veronica Escobar [D],Democrat
412826,TX,21,Nay,Rep. Chip Roy [R],Republican
412827,TX,29,Yea,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,Yea,Rep. Colin Allred [D],Democrat
412829,UT,4,Yea,Rep. Ben McAdams [D],Democrat
412830,VA,2,Yea,Rep. Elaine Luria [D],Democrat
412831,VA,5,Nay,Rep. Denver Riggleman [R],Republican
412832,VA,6,Nay,Rep. Ben Cline [R],Republican
412833,VA,7,Yea,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,Yea,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,Yea,Rep. Kim Schrier [D],Democrat
412836,WI,1,Nay,Rep. Bryan Steil [R],Republican
412837,WV,3,Nay,Rep. Carol Miller [R],Republican
412842,ME,2,Yea,Rep. Jared Golden [D],Democrat
412843,PA,12,Nay,Rep. Fred Keller [R],Republican
412844,NC,9,Nay,Rep. Dan Bishop [R],Republican
412845,NC,3,Nay,Rep. Gregory Murphy [R],Republican
