House Vote #624 2019-11-15T12:04:00 - H.R. 4863: United States Export Finance Agency Act of 2019
person,state,district,vote,name,party
412759,CA,48,Aye,Rep. Harley Rouda [D],Democrat
412760,CA,49,Aye,Rep. Mike Levin [D],Democrat
412761,CO,2,Aye,Rep. Joe Neguse [D],Democrat
412762,CO,6,Aye,Rep. Jason Crow [D],Democrat
412763,CT,5,Aye,Rep. Jahana Hayes [D],Democrat
412764,FL,6,No,Rep. Michael Waltz [R],Republican
412765,FL,15,No,Rep. Ross Spano [R],Republican
412766,FL,17,No,Rep. Gregory Steube [R],Republican
412767,FL,26,Aye,Rep. Debbie Mucarsel-Powell [D],Democrat
412768,FL,27,Aye,Rep. Donna Shalala [D],Democrat
412769,GA,6,Aye,Rep. Lucy McBath [D],Democrat
412771,IA,1,Aye,Rep. Abby Finkenauer [D],Democrat
412772,IA,3,Aye,Rep. Cynthia Axne [D],Democrat
412773,ID,1,No,Rep. Russ Fulcher [R],Republican
412774,IL,4,Aye,Rep. Jesús García [D],Democrat
412775,IL,6,Aye,Rep. Sean Casten [D],Democrat
412776,IL,14,Aye,Rep. Lauren Underwood [D],Democrat
412777,IN,4,No,Rep. James Baird [R],Republican
412778,IN,6,No,Rep. Greg Pence [R],Republican
412779,KS,2,No,Rep. Steven Watkins [R],Republican
412780,KS,3,Aye,Rep. Sharice Davids [D],Democrat
412781,MA,3,Aye,Rep. Lori Trahan [D],Democrat
412782,MA,7,No,Rep. Ayanna Pressley [D],Democrat
412783,MD,6,Aye,Rep. David Trone [D],Democrat
412784,MI,8,Aye,Rep. Elissa Slotkin [D],Democrat
412785,MI,9,Aye,Rep. Andy Levin [D],Democrat
412786,MI,11,Aye,Rep. Haley Stevens [D],Democrat
412787,MI,13,No,Rep. Rashida Tlaib [D],Democrat
412788,MN,1,No,Rep. Jim Hagedorn [R],Republican
412789,MN,2,Aye,Rep. Angie Craig [D],Democrat
412790,MN,3,Aye,Rep. Dean Phillips [D],Democrat
412791,MN,5,Not Voting,Rep. Ilhan Omar [D],Democrat
412792,MN,8,No,Rep. Pete Stauber [R],Republican
412793,MS,3,No,Rep. Michael Guest [R],Republican
412794,ND,0,No,Rep. Kelly Armstrong [R],Republican
412795,NH,1,Aye,Rep. Chris Pappas [D],Democrat
412796,NJ,2,Aye,Rep. Jefferson Van Drew [R],Democrat
412797,NJ,3,Aye,Rep. Andy Kim [D],Democrat
412798,NJ,7,Aye,Rep. Tom Malinowski [D],Democrat
412799,NJ,11,Aye,Rep. Mikie Sherrill [D],Democrat
412800,NM,1,Aye,Rep. Debra Haaland [D],Democrat
412801,NM,2,Aye,Rep. Xochitl Torres Small [D],Democrat
412802,NV,3,Aye,Rep. Susie Lee [D],Democrat
412803,NY,11,Aye,Rep. Max Rose [D],Democrat
412804,NY,14,No,Rep. Alexandria Ocasio-Cortez [D],Democrat
412805,NY,19,Aye,Rep. Antonio Delgado [D],Democrat
412806,NY,22,Aye,Rep. Anthony Brindisi [D],Democrat
412807,OH,16,No,Rep. Anthony Gonzalez [R],Republican
412808,OK,5,Aye,Rep. Kendra Horn [D],Democrat
412809,PA,4,Aye,Rep. Madeleine Dean [D],Democrat
412810,PA,6,Aye,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,No,Rep. Daniel Meuser [R],Republican
412812,PA,13,No,Rep. John Joyce [R],Republican
412813,PA,14,No,Rep. Guy Reschenthaler [R],Republican
412814,SC,1,Aye,Rep. Joe Cunningham [D],Democrat
412815,SC,4,Not Voting,Rep. William Timmons [R],Republican
412816,SD,0,No,Rep. Dusty Johnson [R],Republican
412817,TN,2,No,Rep. Tim Burchett [R],Republican
412818,TN,6,No,Rep. John Rose [R],Republican
412819,TN,7,No,Rep. Mark Green [R],Republican
412820,TX,2,No,Rep. Dan Crenshaw [R],Republican
412821,TX,3,No,Rep. Van Taylor [R],Republican
412822,TX,5,No,Rep. Lance Gooden [R],Republican
412823,TX,6,No,Rep. Ron Wright [R],Republican
412824,TX,7,Aye,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,Aye,Rep. Veronica Escobar [D],Democrat
412826,TX,21,No,Rep. Chip Roy [R],Republican
412827,TX,29,Aye,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,Aye,Rep. Colin Allred [D],Democrat
412829,UT,4,Aye,Rep. Ben McAdams [D],Democrat
412830,VA,2,Aye,Rep. Elaine Luria [D],Democrat
412831,VA,5,No,Rep. Denver Riggleman [R],Republican
412832,VA,6,No,Rep. Ben Cline [R],Republican
412833,VA,7,Aye,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,Aye,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,Aye,Rep. Kim Schrier [D],Democrat
412836,WI,1,No,Rep. Bryan Steil [R],Republican
412837,WV,3,No,Rep. Carol Miller [R],Republican
412842,ME,2,Aye,Rep. Jared Golden [D],Democrat
412843,PA,12,No,Rep. Fred Keller [R],Republican
412844,NC,9,No,Rep. Dan Bishop [R],Republican
412845,NC,3,No,Rep. Gregory Murphy [R],Republican
